sentence,sentiment,preprocessed
by the way i m totally inspired by this freaky nike commercial,1,"{'cleaned_text': 'way total inspir freaki nike commerci', 'tokens': ['way', 'total', 'inspir', 'freaki', 'nike', 'commerci'], 'pos_tags': [('way', 'NOUN'), ('total', 'ADJ'), ('inspir', 'PROPN'), ('freaki', 'PROPN'), ('nike', 'PROPN'), ('commerci', 'PROPN')], 'named_entities': []}"
class the d is supposed to come today,1,"{'cleaned_text': 'class suppos come today', 'tokens': ['class', 'suppos', 'come', 'today'], 'pos_tags': [('class', 'NOUN'), ('suppos', 'NOUN'), ('come', 'VERB'), ('today', 'NOUN')], 'named_entities': []}"
needs someone to explain lambda calculus to him,0,"{'cleaned_text': 'need someon explain lambda calculu', 'tokens': ['need', 'someon', 'explain', 'lambda', 'calculu'], 'pos_tags': [('need', 'AUX'), ('someon', 'PROPN'), ('explain', 'VERB'), ('lambda', 'PROPN'), ('calculu', 'VERB')], 'named_entities': []}"
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0,"{'cleaned_text': 'took graduat field exam comput scienc today noth make feel like idiot lambda calculu', 'tokens': ['took', 'graduat', 'field', 'exam', 'comput', 'scienc', 'today', 'noth', 'make', 'feel', 'like', 'idiot', 'lambda', 'calculu'], 'pos_tags': [('took', 'VERB'), ('graduat', 'PROPN'), ('field', 'NOUN'), ('exam', 'PROPN'), ('comput', 'PROPN'), ('scienc', 'PROPN'), ('today', 'NOUN'), ('noth', 'PROPN'), ('make', 'VERB'), ('feel', 'VERB'), ('like', 'ADP'), ('idiot', 'NOUN'), ('lambda', 'NOUN'), ('calculu', 'VERB')], 'named_entities': [('today', 'DATE')]}"
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,1,"{'cleaned_text': 'shout out east palo alto buildin karizmakaz cal gta also thank profit doom univers hempz cracka', 'tokens': ['shout', 'out', 'east', 'palo', 'alto', 'buildin', 'karizmakaz', 'cal', 'gta', 'also', 'thank', 'profit', 'doom', 'univers', 'hempz', 'cracka'], 'pos_tags': [('shout', 'VERB'), ('out', 'ADP'), ('east', 'PROPN'), ('palo', 'PROPN'), ('alto', 'PROPN'), ('buildin', 'VERB'), ('karizmakaz', 'PROPN'), ('cal', 'PROPN'), ('gta', 'PROPN'), ('also', 'ADV'), ('thank', 'VERB'), ('profit', 'NOUN'), ('doom', 'NOUN'), ('univers', 'NOUN'), ('hempz', 'VERB'), ('cracka', 'NOUN')], 'named_entities': [('east palo alto buildin karizmakaz cal', 'GPE')]}"
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,0,"{'cleaned_text': 'yeahhhhhhhhh realli live east palo alto could avoid guess summer', 'tokens': ['yeahhhhhhhhh', 'realli', 'live', 'east', 'palo', 'alto', 'could', 'avoid', 'guess', 'summer'], 'pos_tags': [('yeahhhhhhhhh', 'PROPN'), ('realli', 'PROPN'), ('live', 'PROPN'), ('east', 'PROPN'), ('palo', 'PROPN'), ('alto', 'PROPN'), ('could', 'AUX'), ('avoid', 'VERB'), ('guess', 'NOUN'), ('summer', 'NOUN')], 'named_entities': [('yeahhhhhhhhh realli live east palo alto', 'PERSON'), ('summer', 'DATE')]}"
great stanford course thanks for making it available to the public really helpful and informative for starting off,1,"{'cleaned_text': 'great stanford cours thank make avail public realli help inform start', 'tokens': ['great', 'stanford', 'cours', 'thank', 'make', 'avail', 'public', 'realli', 'help', 'inform', 'start'], 'pos_tags': [('great', 'PROPN'), ('stanford', 'PROPN'), ('cours', 'PROPN'), ('thank', 'PROPN'), ('make', 'VERB'), ('avail', 'VERB'), ('public', 'ADJ'), ('realli', 'NOUN'), ('help', 'VERB'), ('inform', 'VERB'), ('start', 'VERB')], 'named_entities': [('stanford', 'ORG')]}"
work til pm lets go lakers,1,"{'cleaned_text': 'work til pm let go laker', 'tokens': ['work', 'til', 'pm', 'let', 'go', 'laker'], 'pos_tags': [('work', 'NOUN'), ('til', 'PROPN'), ('pm', 'PROPN'), ('let', 'VERB'), ('go', 'VERB'), ('laker', 'VERB')], 'named_entities': []}"
damn you north korea,0,"{'cleaned_text': 'damn north korea', 'tokens': ['damn', 'north', 'korea'], 'pos_tags': [('damn', 'ADV'), ('north', 'PROPN'), ('korea', 'PROPN')], 'named_entities': [('north korea', 'GPE')]}"
can we just go ahead and blow north korea off the map already,0,"{'cleaned_text': 'go ahead blow north korea map alreadi', 'tokens': ['go', 'ahead', 'blow', 'north', 'korea', 'map', 'alreadi'], 'pos_tags': [('go', 'VERB'), ('ahead', 'ADV'), ('blow', 'PROPN'), ('north', 'PROPN'), ('korea', 'PROPN'), ('map', 'PROPN'), ('alreadi', 'NOUN')], 'named_entities': [('north korea', 'GPE')]}"
north korea please cease this douchebaggery china doesn t even like you anymore,0,"{'cleaned_text': 'north korea plea ceas douchebaggeri china even like anymor', 'tokens': ['north', 'korea', 'plea', 'ceas', 'douchebaggeri', 'china', 'even', 'like', 'anymor'], 'pos_tags': [('north', 'PROPN'), ('korea', 'PROPN'), ('plea', 'PROPN'), ('ceas', 'PROPN'), ('douchebaggeri', 'PROPN'), ('china', 'PROPN'), ('even', 'ADV'), ('like', 'ADP'), ('anymor', 'NOUN')], 'named_entities': [('north korea', 'GPE'), ('douchebaggeri', 'NORP'), ('china', 'GPE')]}"
why the hell is pelosi in freakin china and on whose dime,0,"{'cleaned_text': 'hell pelosi freakin china whose dime', 'tokens': ['hell', 'pelosi', 'freakin', 'china', 'whose', 'dime'], 'pos_tags': [('hell', 'NOUN'), ('pelosi', 'PROPN'), ('freakin', 'NOUN'), ('china', 'PROPN'), ('whose', 'DET'), ('dime', 'NOUN')], 'named_entities': [('hell pelosi freakin china', 'ORG')]}"
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,0,"{'cleaned_text': 'burn cash chrysler gm stop financi tsunami bailout mean take handout', 'tokens': ['burn', 'cash', 'chrysler', 'gm', 'stop', 'financi', 'tsunami', 'bailout', 'mean', 'take', 'handout'], 'pos_tags': [('burn', 'VERB'), ('cash', 'NOUN'), ('chrysler', 'NOUN'), ('gm', 'PROPN'), ('stop', 'VERB'), ('financi', 'PROPN'), ('tsunami', 'PROPN'), ('bailout', 'PROPN'), ('mean', 'VERB'), ('take', 'VERB'), ('handout', 'NOUN')], 'named_entities': [('chrysler', 'ORG'), ('gm', 'ORG')]}"
insects have infected my spinach plant,0,"{'cleaned_text': 'insect infect spinach plant', 'tokens': ['insect', 'infect', 'spinach', 'plant'], 'pos_tags': [('insect', 'PROPN'), ('infect', 'VERB'), ('spinach', 'PROPN'), ('plant', 'NOUN')], 'named_entities': []}"
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0,"{'cleaned_text': 'wish could catch everi mosquito world n burn em slowli bitin shit outta day mosquito asshol insect', 'tokens': ['wish', 'could', 'catch', 'everi', 'mosquito', 'world', 'n', 'burn', 'em', 'slowli', 'bitin', 'shit', 'outta', 'day', 'mosquito', 'asshol', 'insect'], 'pos_tags': [('wish', 'VERB'), ('could', 'AUX'), ('catch', 'VERB'), ('everi', 'ADJ'), ('mosquito', 'ADJ'), ('world', 'NOUN'), ('n', 'CCONJ'), ('burn', 'VERB'), ('em', 'PRON'), ('slowli', 'PROPN'), ('bitin', 'NOUN'), ('shit', 'NOUN'), ('outta', 'PROPN'), ('day', 'NOUN'), ('mosquito', 'PROPN'), ('asshol', 'PROPN'), ('insect', 'PROPN')], 'named_entities': [('everi mosquito', 'PERSON')]}"
just got back from church and i totally hate insects,0,"{'cleaned_text': 'got back church total hate insect', 'tokens': ['got', 'back', 'church', 'total', 'hate', 'insect'], 'pos_tags': [('got', 'VERB'), ('back', 'ADV'), ('church', 'NOUN'), ('total', 'NOUN'), ('hate', 'NOUN'), ('insect', 'NOUN')], 'named_entities': []}"
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,0,"{'cleaned_text': 'got mcdonald goddam egg make sick yeah laker date go laker much updat well true suck', 'tokens': ['got', 'mcdonald', 'goddam', 'egg', 'make', 'sick', 'yeah', 'laker', 'date', 'go', 'laker', 'much', 'updat', 'well', 'true', 'suck'], 'pos_tags': [('got', 'VERB'), ('mcdonald', 'PROPN'), ('goddam', 'PROPN'), ('egg', 'NOUN'), ('make', 'VERB'), ('sick', 'ADJ'), ('yeah', 'INTJ'), ('laker', 'NOUN'), ('date', 'NOUN'), ('go', 'VERB'), ('laker', 'VERB'), ('much', 'ADJ'), ('updat', 'NOUN'), ('well', 'INTJ'), ('true', 'ADJ'), ('suck', 'NOUN')], 'named_entities': [('mcdonald goddam', 'ORG')]}"
omgg i ohhdee want mcdonalds damn i wonder if its open lol,1,"{'cleaned_text': 'omgg ohhde want mcdonald damn wonder open lol', 'tokens': ['omgg', 'ohhde', 'want', 'mcdonald', 'damn', 'wonder', 'open', 'lol'], 'pos_tags': [('omgg', 'PROPN'), ('ohhde', 'PROPN'), ('want', 'VERB'), ('mcdonald', 'PROPN'), ('damn', 'ADV'), ('wonder', 'NOUN'), ('open', 'ADJ'), ('lol', 'NOUN')], 'named_entities': []}"
history exam studying ugh,0,"{'cleaned_text': 'histori exam studi ugh', 'tokens': ['histori', 'exam', 'studi', 'ugh'], 'pos_tags': [('histori', 'PROPN'), ('exam', 'PROPN'), ('studi', 'PROPN'), ('ugh', 'PROPN')], 'named_entities': []}"
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,0,"{'cleaned_text': 'hate revis bore total unprepar exam tomorrow thing look good', 'tokens': ['hate', 'revis', 'bore', 'total', 'unprepar', 'exam', 'tomorrow', 'thing', 'look', 'good'], 'pos_tags': [('hate', 'VERB'), ('revis', 'PROPN'), ('bore', 'PROPN'), ('total', 'ADJ'), ('unprepar', 'ADJ'), ('exam', 'NOUN'), ('tomorrow', 'NOUN'), ('thing', 'NOUN'), ('look', 'VERB'), ('good', 'ADJ')], 'named_entities': [('tomorrow', 'DATE')]}"
higher physics exam tommorow not lookin forward to it much,0,"{'cleaned_text': 'higher physic exam tommorow lookin forward much', 'tokens': ['higher', 'physic', 'exam', 'tommorow', 'lookin', 'forward', 'much'], 'pos_tags': [('higher', 'ADJ'), ('physic', 'ADJ'), ('exam', 'NOUN'), ('tommorow', 'NOUN'), ('lookin', 'NOUN'), ('forward', 'ADV'), ('much', 'ADV')], 'named_entities': []}"
it s a bank holiday yet i m only out of work now exam season sucks,0,"{'cleaned_text': 'bank holiday yet work exam season suck', 'tokens': ['bank', 'holiday', 'yet', 'work', 'exam', 'season', 'suck'], 'pos_tags': [('bank', 'PROPN'), ('holiday', 'NOUN'), ('yet', 'ADV'), ('work', 'VERB'), ('exam', 'NOUN'), ('season', 'NOUN'), ('suck', 'VERB')], 'named_entities': []}"
cheney and bush are the real culprits,0,"{'cleaned_text': 'cheney bush real culprit', 'tokens': ['cheney', 'bush', 'real', 'culprit'], 'pos_tags': [('cheney', 'PROPN'), ('bush', 'PROPN'), ('real', 'ADJ'), ('culprit', 'NOUN')], 'named_entities': [('cheney bush', 'PERSON')]}"
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,0,"{'cleaned_text': 'life bitch dick cheney p bipart tlot tcot hhr gop dnc', 'tokens': ['life', 'bitch', 'dick', 'cheney', 'p', 'bipart', 'tlot', 'tcot', 'hhr', 'gop', 'dnc'], 'pos_tags': [('life', 'NOUN'), ('bitch', 'PROPN'), ('dick', 'PROPN'), ('cheney', 'PROPN'), ('p', 'PROPN'), ('bipart', 'PROPN'), ('tlot', 'NOUN'), ('tcot', 'PROPN'), ('hhr', 'PROPN'), ('gop', 'PROPN'), ('dnc', 'PROPN')], 'named_entities': [('dick cheney', 'PERSON'), ('tlot', 'NORP'), ('gop', 'ORG')]}"
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,0,"{'cleaned_text': 'dick cheney dishonest speech tortur terror obama fred kaplan slate', 'tokens': ['dick', 'cheney', 'dishonest', 'speech', 'tortur', 'terror', 'obama', 'fred', 'kaplan', 'slate'], 'pos_tags': [('dick', 'PROPN'), ('cheney', 'PROPN'), ('dishonest', 'PROPN'), ('speech', 'NOUN'), ('tortur', 'NOUN'), ('terror', 'NOUN'), ('obama', 'PROPN'), ('fred', 'VERB'), ('kaplan', 'PROPN'), ('slate', 'NOUN')], 'named_entities': [('dick cheney', 'PERSON'), ('fred kaplan', 'PERSON')]}"
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,0,"{'cleaned_text': 'republican parti bunch anti abort zealot draw fli dump neal boortz radio', 'tokens': ['republican', 'parti', 'bunch', 'anti', 'abort', 'zealot', 'draw', 'fli', 'dump', 'neal', 'boortz', 'radio'], 'pos_tags': [('republican', 'PROPN'), ('parti', 'PROPN'), ('bunch', 'PROPN'), ('anti', 'ADJ'), ('abort', 'ADJ'), ('zealot', 'NOUN'), ('draw', 'NOUN'), ('fli', 'NOUN'), ('dump', 'VERB'), ('neal', 'ADJ'), ('boortz', 'NOUN'), ('radio', 'NOUN')], 'named_entities': [('republican', 'NORP')]}"
is twitter s connections api broken some tweets didn t make it to twitter,0,"{'cleaned_text': 'twitter connect api broken tweet make twitter', 'tokens': ['twitter', 'connect', 'api', 'broken', 'tweet', 'make', 'twitter'], 'pos_tags': [('twitter', 'PROPN'), ('connect', 'PROPN'), ('api', 'PROPN'), ('broken', 'VERB'), ('tweet', 'NOUN'), ('make', 'VERB'), ('twitter', 'NOUN')], 'named_entities': []}"
i srsly hate the stupid twitter api timeout thing soooo annoying,0,"{'cleaned_text': 'srsli hate stupid twitter api timeout thing soooo annoy', 'tokens': ['srsli', 'hate', 'stupid', 'twitter', 'api', 'timeout', 'thing', 'soooo', 'annoy'], 'pos_tags': [('srsli', 'NOUN'), ('hate', 'VERB'), ('stupid', 'ADJ'), ('twitter', 'NOUN'), ('api', 'NOUN'), ('timeout', 'NOUN'), ('thing', 'NOUN'), ('soooo', 'NOUN'), ('annoy', 'VERB')], 'named_entities': []}"
i really liked learning jquery book is worth a look too,1,"{'cleaned_text': 'realli like learn jqueri book worth look', 'tokens': ['realli', 'like', 'learn', 'jqueri', 'book', 'worth', 'look'], 'pos_tags': [('realli', 'PROPN'), ('like', 'AUX'), ('learn', 'VERB'), ('jqueri', 'PROPN'), ('book', 'NOUN'), ('worth', 'ADJ'), ('look', 'VERB')], 'named_entities': [('jqueri', 'NORP')]}"
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,1,"{'cleaned_text': 'interest ad adob goodbi silverstein amp partner youtub adob c le sen propr', 'tokens': ['interest', 'ad', 'adob', 'goodbi', 'silverstein', 'amp', 'partner', 'youtub', 'adob', 'c', 'le', 'sen', 'propr'], 'pos_tags': [('interest', 'NOUN'), ('ad', 'NOUN'), ('adob', 'PROPN'), ('goodbi', 'PROPN'), ('silverstein', 'PROPN'), ('amp', 'PROPN'), ('partner', 'PROPN'), ('youtub', 'PROPN'), ('adob', 'PROPN'), ('c', 'PROPN'), ('le', 'PROPN'), ('sen', 'PROPN'), ('propr', 'PROPN')], 'named_entities': [('goodbi silverstein', 'PERSON')]}"
goodby silverstein agency new site great,1,"{'cleaned_text': 'goodbi silverstein agenc new site great', 'tokens': ['goodbi', 'silverstein', 'agenc', 'new', 'site', 'great'], 'pos_tags': [('goodbi', 'PROPN'), ('silverstein', 'PROPN'), ('agenc', 'PROPN'), ('new', 'ADJ'), ('site', 'NOUN'), ('great', 'ADJ')], 'named_entities': [('goodbi silverstein', 'PERSON')]}"
rt goodby silverstein s new site i enjoy it nice find,1,"{'cleaned_text': 'rt goodbi silverstein new site enjoy nice find', 'tokens': ['rt', 'goodbi', 'silverstein', 'new', 'site', 'enjoy', 'nice', 'find'], 'pos_tags': [('rt', 'PROPN'), ('goodbi', 'PROPN'), ('silverstein', 'PROPN'), ('new', 'PROPN'), ('site', 'NOUN'), ('enjoy', 'VERB'), ('nice', 'ADJ'), ('find', 'NOUN')], 'named_entities': [('goodbi silverstein', 'PERSON')]}"
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,1,"{'cleaned_text': 'ever amaz psyop goodbi silverstein amp partner hp go play effect', 'tokens': ['ever', 'amaz', 'psyop', 'goodbi', 'silverstein', 'amp', 'partner', 'hp', 'go', 'play', 'effect'], 'pos_tags': [('ever', 'ADV'), ('amaz', 'ADV'), ('psyop', 'NOUN'), ('goodbi', 'PROPN'), ('silverstein', 'PROPN'), ('amp', 'PROPN'), ('partner', 'NOUN'), ('hp', 'X'), ('go', 'VERB'), ('play', 'VERB'), ('effect', 'NOUN')], 'named_entities': []}"
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,1,"{'cleaned_text': 'top ten watch viral video chart love nike mostvaluablepuppet campaign wieden amp kennedi', 'tokens': ['top', 'ten', 'watch', 'viral', 'video', 'chart', 'love', 'nike', 'mostvaluablepuppet', 'campaign', 'wieden', 'amp', 'kennedi'], 'pos_tags': [('top', 'ADJ'), ('ten', 'NUM'), ('watch', 'VERB'), ('viral', 'ADJ'), ('video', 'NOUN'), ('chart', 'NOUN'), ('love', 'VERB'), ('nike', 'ADP'), ('mostvaluablepuppet', 'PROPN'), ('campaign', 'PROPN'), ('wieden', 'VERB'), ('amp', 'PROPN'), ('kennedi', 'PROPN')], 'named_entities': [('ten', 'CARDINAL')]}"
zomg i have a g,1,"{'cleaned_text': 'zomg g', 'tokens': ['zomg', 'g'], 'pos_tags': [('zomg', 'NOUN'), ('g', 'X')], 'named_entities': [('zomg g', 'PERSON')]}"
ok so lots of buzz from io but how lucky are they a free g,1,"{'cleaned_text': 'ok lot buzz io lucki free g', 'tokens': ['ok', 'lot', 'buzz', 'io', 'lucki', 'free', 'g'], 'pos_tags': [('ok', 'INTJ'), ('lot', 'NOUN'), ('buzz', 'NOUN'), ('io', 'PROPN'), ('lucki', 'PROPN'), ('free', 'PROPN'), ('g', 'PROPN')], 'named_entities': []}"
just got a free g android at google i o,1,"{'cleaned_text': 'got free g android googl', 'tokens': ['got', 'free', 'g', 'android', 'googl'], 'pos_tags': [('got', 'VERB'), ('free', 'ADJ'), ('g', 'PROPN'), ('android', 'ADJ'), ('googl', 'NOUN')], 'named_entities': []}"
guess i ll be retiring my g and start using my developer g woot googleio,1,"{'cleaned_text': 'guess retir g start use develop g woot googleio', 'tokens': ['guess', 'retir', 'g', 'start', 'use', 'develop', 'g', 'woot', 'googleio'], 'pos_tags': [('guess', 'VERB'), ('retir', 'PROPN'), ('g', 'PROPN'), ('start', 'PROPN'), ('use', 'NOUN'), ('develop', 'VERB'), ('g', 'PRON'), ('woot', 'ADJ'), ('googleio', 'NOUN')], 'named_entities': []}"
i am happy for philip being at googleio today,1,"{'cleaned_text': 'happi philip googleio today', 'tokens': ['happi', 'philip', 'googleio', 'today'], 'pos_tags': [('happi', 'PROPN'), ('philip', 'PROPN'), ('googleio', 'PROPN'), ('today', 'NOUN')], 'named_entities': [('happi philip googleio', 'PERSON'), ('today', 'DATE')]}"
lakers played great cannot wait for thursday night lakers vs,1,"{'cleaned_text': 'laker play great wait thursday night laker v', 'tokens': ['laker', 'play', 'great', 'wait', 'thursday', 'night', 'laker', 'v'], 'pos_tags': [('laker', 'NOUN'), ('play', 'VERB'), ('great', 'ADJ'), ('wait', 'NOUN'), ('thursday', 'PROPN'), ('night', 'NOUN'), ('laker', 'PROPN'), ('v', 'NOUN')], 'named_entities': [('thursday', 'DATE'), ('night', 'TIME')]}"
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,1,"{'cleaned_text': 'judd apatow creat fake sitcom nbc com market new movi viral market best', 'tokens': ['judd', 'apatow', 'creat', 'fake', 'sitcom', 'nbc', 'com', 'market', 'new', 'movi', 'viral', 'market', 'best'], 'pos_tags': [('judd', 'PROPN'), ('apatow', 'PROPN'), ('creat', 'PROPN'), ('fake', 'ADJ'), ('sitcom', 'NOUN'), ('nbc', 'PROPN'), ('com', 'NOUN'), ('market', 'NOUN'), ('new', 'ADJ'), ('movi', 'NOUN'), ('viral', 'ADJ'), ('market', 'NOUN'), ('best', 'ADV')], 'named_entities': [('apatow creat fake', 'PERSON'), ('nbc', 'ORG')]}"
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,0,"{'cleaned_text': 'viral market fail acia pill brand oughta get shut hack peopl messeng get msg day arrrgh', 'tokens': ['viral', 'market', 'fail', 'acia', 'pill', 'brand', 'oughta', 'get', 'shut', 'hack', 'peopl', 'messeng', 'get', 'msg', 'day', 'arrrgh'], 'pos_tags': [('viral', 'ADJ'), ('market', 'NOUN'), ('fail', 'VERB'), ('acia', 'PROPN'), ('pill', 'PROPN'), ('brand', 'PROPN'), ('oughta', 'PROPN'), ('get', 'AUX'), ('shut', 'VERB'), ('hack', 'NOUN'), ('peopl', 'PROPN'), ('messeng', 'PROPN'), ('get', 'VERB'), ('msg', 'PROPN'), ('day', 'NOUN'), ('arrrgh', 'NOUN')], 'named_entities': [('peopl messeng', 'PERSON')]}"
watching night at the museum lmao,1,"{'cleaned_text': 'watch night museum lmao', 'tokens': ['watch', 'night', 'museum', 'lmao'], 'pos_tags': [('watch', 'VERB'), ('night', 'PROPN'), ('museum', 'PROPN'), ('lmao', 'PROPN')], 'named_entities': [('night', 'TIME')]}"
i loved night at the museum,1,"{'cleaned_text': 'love night museum', 'tokens': ['love', 'night', 'museum'], 'pos_tags': [('love', 'PROPN'), ('night', 'PROPN'), ('museum', 'NOUN')], 'named_entities': [('night', 'TIME')]}"
just got back from the movies went to see the new night at the museum with rachel it was good,1,"{'cleaned_text': 'got back movi went see new night museum rachel good', 'tokens': ['got', 'back', 'movi', 'went', 'see', 'new', 'night', 'museum', 'rachel', 'good'], 'pos_tags': [('got', 'VERB'), ('back', 'ADV'), ('movi', 'NOUN'), ('went', 'VERB'), ('see', 'VERB'), ('new', 'ADJ'), ('night', 'NOUN'), ('museum', 'PROPN'), ('rachel', 'PROPN'), ('good', 'PROPN')], 'named_entities': []}"
i will take you on a date to see night at the museum whenever you want it looks soooooo good,1,"{'cleaned_text': 'take date see night museum whenev want look soooooo good', 'tokens': ['take', 'date', 'see', 'night', 'museum', 'whenev', 'want', 'look', 'soooooo', 'good'], 'pos_tags': [('take', 'VERB'), ('date', 'NOUN'), ('see', 'PROPN'), ('night', 'PROPN'), ('museum', 'PROPN'), ('whenev', 'PROPN'), ('want', 'VERB'), ('look', 'VERB'), ('soooooo', 'ADJ'), ('good', 'ADJ')], 'named_entities': [('night', 'TIME')]}"
no watching the night at the museum getting really good,1,"{'cleaned_text': 'watch night museum get realli good', 'tokens': ['watch', 'night', 'museum', 'get', 'realli', 'good'], 'pos_tags': [('watch', 'VERB'), ('night', 'NOUN'), ('museum', 'NOUN'), ('get', 'VERB'), ('realli', 'PROPN'), ('good', 'ADJ')], 'named_entities': [('night', 'TIME')]}"
night at the museum wolverine and junk food perfect monday,1,"{'cleaned_text': 'night museum wolverin junk food perfect monday', 'tokens': ['night', 'museum', 'wolverin', 'junk', 'food', 'perfect', 'monday'], 'pos_tags': [('night', 'NOUN'), ('museum', 'PROPN'), ('wolverin', 'PROPN'), ('junk', 'NOUN'), ('food', 'NOUN'), ('perfect', 'ADJ'), ('monday', 'PROPN')], 'named_entities': [('night', 'TIME'), ('monday', 'DATE')]}"
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,1,"{'cleaned_text': 'saw night museum last night pretti crazi movi cast awesom well worth robin william forev', 'tokens': ['saw', 'night', 'museum', 'last', 'night', 'pretti', 'crazi', 'movi', 'cast', 'awesom', 'well', 'worth', 'robin', 'william', 'forev'], 'pos_tags': [('saw', 'VERB'), ('night', 'NOUN'), ('museum', 'NOUN'), ('last', 'ADJ'), ('night', 'NOUN'), ('pretti', 'PROPN'), ('crazi', 'PROPN'), ('movi', 'PROPN'), ('cast', 'VERB'), ('awesom', 'NOUN'), ('well', 'ADV'), ('worth', 'ADJ'), ('robin', 'PROPN'), ('william', 'PROPN'), ('forev', 'PROPN')], 'named_entities': [('last night', 'TIME'), ('crazi movi', 'ORG'), ('awesom', 'PERSON'), ('robin william forev', 'PERSON')]}"
night at the museum tonite instead of up oh well that yr old better enjoy it lol,0,"{'cleaned_text': 'night museum tonit instead oh well yr old better enjoy lol', 'tokens': ['night', 'museum', 'tonit', 'instead', 'oh', 'well', 'yr', 'old', 'better', 'enjoy', 'lol'], 'pos_tags': [('night', 'NOUN'), ('museum', 'NOUN'), ('tonit', 'NOUN'), ('instead', 'ADV'), ('oh', 'INTJ'), ('well', 'INTJ'), ('yr', 'CCONJ'), ('old', 'ADJ'), ('better', 'ADJ'), ('enjoy', 'VERB'), ('lol', 'NOUN')], 'named_entities': [('night', 'TIME')]}"
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0,"{'cleaned_text': 'unfortun stimulu plan put place twice help gm back american peopl led inevit', 'tokens': ['unfortun', 'stimulu', 'plan', 'put', 'place', 'twice', 'help', 'gm', 'back', 'american', 'peopl', 'led', 'inevit'], 'pos_tags': [('unfortun', 'ADJ'), ('stimulu', 'PROPN'), ('plan', 'NOUN'), ('put', 'VERB'), ('place', 'NOUN'), ('twice', 'ADV'), ('help', 'VERB'), ('gm', 'PROPN'), ('back', 'ADV'), ('american', 'ADJ'), ('peopl', 'PROPN'), ('led', 'VERB'), ('inevit', 'PROPN')], 'named_entities': [('unfortun', 'PERSON'), ('gm', 'ORG'), ('american', 'NORP')]}"
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0,"{'cleaned_text': 'tell give gm use program support unemploy', 'tokens': ['tell', 'give', 'gm', 'use', 'program', 'support', 'unemploy'], 'pos_tags': [('tell', 'VERB'), ('give', 'VERB'), ('gm', 'PROPN'), ('use', 'NOUN'), ('program', 'NOUN'), ('support', 'NOUN'), ('unemploy', 'ADP')], 'named_entities': [('gm', 'ORG')]}"
oh yes but if gm dies it will only be worth more boo hahaha,0,"{'cleaned_text': 'oh ye gm die worth boo hahaha', 'tokens': ['oh', 'ye', 'gm', 'die', 'worth', 'boo', 'hahaha'], 'pos_tags': [('oh', 'INTJ'), ('ye', 'INTJ'), ('gm', 'PROPN'), ('die', 'VERB'), ('worth', 'ADJ'), ('boo', 'NOUN'), ('hahaha', 'NOUN')], 'named_entities': [('gm', 'ORG')]}"
time warner cable is down again rd time since memorial day bummer,0,"{'cleaned_text': 'time warner cabl rd time sinc memori day bummer', 'tokens': ['time', 'warner', 'cabl', 'rd', 'time', 'sinc', 'memori', 'day', 'bummer'], 'pos_tags': [('time', 'NOUN'), ('warner', 'PROPN'), ('cabl', 'PROPN'), ('rd', 'PROPN'), ('time', 'PROPN'), ('sinc', 'PROPN'), ('memori', 'PROPN'), ('day', 'PROPN'), ('bummer', 'NOUN')], 'named_entities': [('time warner cabl rd time sinc', 'ORG'), ('day', 'DATE')]}"
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,0,"{'cleaned_text': 'would rather pay reason yearli tax free fast internet get goug time warner slow connect', 'tokens': ['would', 'rather', 'pay', 'reason', 'yearli', 'tax', 'free', 'fast', 'internet', 'get', 'goug', 'time', 'warner', 'slow', 'connect'], 'pos_tags': [('would', 'AUX'), ('rather', 'ADV'), ('pay', 'VERB'), ('reason', 'NOUN'), ('yearli', 'NOUN'), ('tax', 'NOUN'), ('free', 'ADJ'), ('fast', 'ADJ'), ('internet', 'NOUN'), ('get', 'VERB'), ('goug', 'NOUN'), ('time', 'NOUN'), ('warner', 'PROPN'), ('slow', 'PROPN'), ('connect', 'PROPN')], 'named_entities': [('warner', 'ORG')]}"
